transaction_id,date,time,outlet_id,outlet_name,city,province,menu_id,menu_name,category,quantity,unit_price,total_amount,channel
TXN_000029,2025-02-05,12:46,FC_0056,Fore Coffee Pesona Square,Depok,Jawa Barat,COF01,Iced Cafe Latte,Coffee,1,29000,29000,Pick-up (App)
TXN_000030,2025-03-20,08:19,FC_0136,Fore Coffee Location 1,Manado,Sulawesi Utara,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,4,33000,132000,GoFood
TXN_000031,2026-02-25,13:06,FC_0176,Fore Coffee Location 3,Bogor,Jawa Barat,SIG01,Iced Aren Latte,Fore Signature,2,29000,58000,Dine-in
TXN_000032,2025-03-18,09:21,FC_0043,Fore Coffee Ciputra World Surabaya,Surabaya,Jawa Timur,SIG04,Iced Pandan Latte,Fore Signature,2,29000,58000,Pick-up (App)
TXN_000033,2025-12-06,10:47,FC_0300,Fore Coffee The Breeze BSD,Jakarta Selatan,DKI Jakarta,TEA02,Iced Green Tea Jasmine,Tea,2,29000,58000,Pick-up (App)
TXN_000034,2025-01-17,08:04,FC_0296,Fore Coffee Location 2,Kediri,Jawa Timur,COF05,Iced Malty Latte,Coffee,2,27000,54000,GoFood
TXN_000035,2025-03-10,10:37,FC_0142,Fore Coffee Emporium Pluit,Jakarta Utara,DKI Jakarta,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,2,33000,66000,Dine-in
TXN_000036,2025-09-10,08:00,FC_0305,Fore Coffee Location 1,Karawang,Jawa Barat,SIG04,Iced Pandan Latte,Fore Signature,1,29000,29000,GoFood
TXN_000037,2025-07-14,07:16,FC_0230,Fore Coffee Meruya,Jakarta Barat,DKI Jakarta,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Dine-in
TXN_000038,2025-01-06,17:39,FC_0220,Fore Coffee Pejaten Village,Jakarta Selatan,DKI Jakarta,NCF01,Iced Dark Chocolate,Non Coffee,5,34000,170000,GrabFood
TXN_000039,2025-01-26,12:32,FC_0014,Fore Coffee Bekasi Junction,Bekasi,Jawa Barat,SIG04,Iced Pandan Latte,Fore Signature,2,29000,58000,GoFood
TXN_000040,2025-12-02,12:59,FC_0139,Fore Coffee Gandaria City,Jakarta Selatan,DKI Jakarta,COF01,Iced Cafe Latte,Coffee,1,29000,29000,GrabFood
TXN_000041,2026-03-04,16:54,FC_0132,Fore Coffee Beachwalk Kuta,Denpasar,Bali,NCF01,Iced Dark Chocolate,Non Coffee,1,34000,34000,GrabFood
TXN_000042,2025-04-12,09:28,FC_0260,Fore Coffee Atrium Senen,Jakarta Pusat,DKI Jakarta,SIG02,Hot Aren Latte,Fore Signature,1,29000,29000,Pick-up (App)
TXN_000043,2025-08-19,09:20,FC_0171,Fore Coffee Location 2,Samarinda,Kalimantan Timur,SIG07,Iced Kopi Dari Tani,Fore Signature,1,25000,25000,Walk-in Takeaway
TXN_000044,2026-03-10,13:34,FC_0335,Fore Coffee Losari Beach Area,Makassar,Sulawesi Selatan,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Pick-up (App)
TXN_000045,2025-07-01,08:18,FC_0069,Fore Coffee Area 30,Jakarta Selatan,DKI Jakarta,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,4,33000,132000,Pick-up (App)
TXN_000046,2025-07-18,09:41,FC_0335,Fore Coffee Losari Beach Area,Makassar,Sulawesi Selatan,COF09,Iced Caramel Praline Macchiato,Coffee,1,34000,34000,Pick-up (App)
TXN_000047,2026-01-04,10:21,FC_0063,Fore Coffee Ambarrukmo Plaza,Yogyakarta,DI Yogyakarta,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Dine-in
TXN_000048,2025-04-03,15:54,FC_0014,Fore Coffee Bekasi Junction,Bekasi,Jawa Barat,COF03,Iced Cappuccino,Coffee,1,29000,29000,Pick-up (App)
TXN_000049,2025-02-28,17:00,FC_0259,Fore Coffee Ciater,Tangerang Selatan,Banten,SIG05,Hot Pandan Latte,Fore Signature,2,29000,58000,Dine-in
TXN_000050,2025-05-26,13:13,FC_0014,Fore Coffee Bekasi Junction,Bekasi,Jawa Barat,COF05,Iced Malty Latte,Coffee,1,27000,27000,Pick-up (App)
TXN_000051,2025-01-21,10:05,FC_0258,Fore Coffee Solo Grand Mall,Solo,Jawa Tengah,SIG01,Iced Aren Latte,Fore Signature,2,29000,58000,Dine-in
TXN_000052,2025-08-02,13:56,FC_0183,Fore Coffee Location 4,Manado,Sulawesi Utara,SIG07,Iced Kopi Dari Tani,Fore Signature,1,25000,25000,Dine-in
TXN_000053,2025-10-27,17:13,FC_0177,Fore Coffee Setiabudhi,Bandung,Jawa Barat,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Dine-in
TXN_000054,2026-03-19,08:53,FC_0182,Fore Coffee Metropolitan Mall,Bekasi,Jawa Barat,AMR02,Hot Americano,Americano,3,23000,69000,Dine-in
TXN_000055,2025-06-07,11:45,FC_0151,Fore Coffee Pluit Village,Jakarta Utara,DKI Jakarta,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,2,33000,66000,Pick-up (App)
TXN_000056,2025-04-08,09:54,FC_0162,Fore Coffee Location 2,Karawang,Jawa Barat,TEA02,Iced Green Tea Jasmine,Tea,2,29000,58000,Dine-in
TXN_000057,2025-03-28,07:51,FC_0184,Fore Coffee Setiabudi One,Jakarta Selatan,DKI Jakarta,SIG06,Iced Buttercream Latte,Fore Signature,2,33000,66000,Dine-in
TXN_000058,2026-02-26,10:53,FC_0124,Fore Coffee Location 4,Bogor,Jawa Barat,COF09,Iced Caramel Praline Macchiato,Coffee,2,34000,68000,ShopeeFood
TXN_000059,2025-12-10,12:48,FC_0137,Fore Coffee Manhattan Times Square,Medan,Sumatera Utara,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Pick-up (App)
TXN_000060,2025-02-14,11:00,FC_0056,Fore Coffee Pesona Square,Depok,Jawa Barat,AMR02,Hot Americano,Americano,1,23000,23000,GrabFood
TXN_000061,2025-09-28,10:19,FC_0233,Fore Coffee Bintaro Plaza,Tangerang Selatan,Banten,AMR02,Hot Americano,Americano,2,23000,46000,Pick-up (App)
TXN_000062,2025-10-18,13:33,FC_0144,Fore Coffee Malioboro Mall,Yogyakarta,DI Yogyakarta,SIG02,Hot Aren Latte,Fore Signature,2,29000,58000,GrabFood
TXN_000063,2025-10-14,12:48,FC_0285,Fore Coffee Thamrin City,Jakarta Pusat,DKI Jakarta,COF03,Iced Cappuccino,Coffee,1,29000,29000,Dine-in
TXN_000064,2026-01-07,12:40,FC_0158,Fore Coffee Location 1,Banjarmasin,Kalimantan Selatan,SIG02,Hot Aren Latte,Fore Signature,1,29000,29000,GoFood
TXN_000065,2025-12-14,14:58,FC_0132,Fore Coffee Beachwalk Kuta,Denpasar,Bali,AMR04,Iced Triple Peach Americano,Americano,4,29000,116000,GrabFood
TXN_000066,2025-05-20,12:04,FC_0005,Fore Coffee Taman Anggrek,Jakarta Barat,DKI Jakarta,NCF02,Iced Matcha Green Tea,Non Coffee,1,34000,34000,Dine-in
TXN_000067,2025-03-05,18:51,FC_0054,Fore Coffee Rungkut,Surabaya,Jawa Timur,NCF01,Iced Dark Chocolate,Non Coffee,2,34000,68000,Dine-in
TXN_000068,2026-02-01,17:02,FC_0253,Fore Coffee Teraskota,Tangerang,Banten,AMR01,Iced Americano,Americano,2,23000,46000,Dine-in
TXN_000069,2025-01-23,14:39,FC_0062,Fore Coffee Area 31,Jakarta Selatan,DKI Jakarta,TEA01,Iced English Breakfast,Tea,2,29000,58000,Dine-in
TXN_000070,2026-02-13,08:53,FC_0208,Fore Coffee Royal Plaza,Surabaya,Jawa Timur,COF04,Iced Bumi Latte,Coffee,2,25000,50000,Walk-in Takeaway
TXN_000071,2025-05-07,18:47,FC_0287,Fore Coffee Tembalang,Semarang,Jawa Tengah,SIG07,Iced Kopi Dari Tani,Fore Signature,2,25000,50000,ShopeeFood
TXN_000072,2025-07-31,16:40,FC_0232,Fore Coffee Jatinegara,Jakarta Timur,DKI Jakarta,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,GrabFood
TXN_000073,2025-04-15,14:24,FC_0220,Fore Coffee Pejaten Village,Jakarta Selatan,DKI Jakarta,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,1,33000,33000,GrabFood
TXN_000074,2025-04-12,15:33,FC_0023,Fore Coffee Location 5,Bogor,Jawa Barat,SIG01,Iced Aren Latte,Fore Signature,2,29000,58000,ShopeeFood
TXN_000075,2025-10-30,12:25,FC_0215,Fore Coffee Location 6,Bogor,Jawa Barat,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,2,33000,66000,ShopeeFood
TXN_000076,2025-09-13,09:17,FC_0131,Fore Coffee Location 1,Palangkaraya,Kalimantan Tengah,NCF04,Iced Almond Choco,Non Coffee,1,39000,39000,GrabFood
TXN_000077,2026-02-14,07:08,FC_0125,Fore Coffee Ciputra Mall Semarang,Semarang,Jawa Tengah,TEA01,Iced English Breakfast,Tea,1,29000,29000,Dine-in
TXN_000078,2025-08-10,12:29,FC_0082,Fore Coffee Area 10,Denpasar,Bali,NCF01,Iced Dark Chocolate,Non Coffee,2,34000,68000,Pick-up (App)
TXN_000079,2025-10-23,09:55,FC_0307,Fore Coffee Location 3,Bandar Lampung,Lampung,NCF02,Iced Matcha Green Tea,Non Coffee,1,34000,34000,Dine-in
TXN_000080,2026-02-23,15:55,FC_0202,Fore Coffee Detos,Depok,Jawa Barat,COF02,Hot Cafe Latte,Coffee,2,29000,58000,GrabFood
TXN_000081,2026-03-13,09:20,FC_0074,Fore Coffee Location 2,Balikpapan,Kalimantan Timur,COF05,Iced Malty Latte,Coffee,1,27000,27000,Dine-in
TXN_000082,2025-06-22,12:19,FC_0142,Fore Coffee Emporium Pluit,Jakarta Utara,DKI Jakarta,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Pick-up (App)
TXN_000083,2025-06-02,12:09,FC_0212,Fore Coffee Location 1,Ambon,Maluku,COF05,Iced Malty Latte,Coffee,1,27000,27000,ShopeeFood
TXN_000084,2025-12-29,09:21,FC_0045,Fore Coffee Java Mall,Semarang,Jawa Tengah,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Dine-in
TXN_000085,2025-03-27,10:13,FC_0012,Fore Coffee Soekarno Hatta Malang,Malang,Jawa Timur,COF04,Iced Bumi Latte,Coffee,1,25000,25000,Walk-in Takeaway
TXN_000086,2025-02-16,15:08,FC_0257,Fore Coffee Senen,Jakarta Pusat,DKI Jakarta,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,2,33000,66000,GrabFood
TXN_000087,2025-06-05,08:36,FC_0144,Fore Coffee Malioboro Mall,Yogyakarta,DI Yogyakarta,COF02,Hot Cafe Latte,Coffee,1,29000,29000,GoFood
TXN_000088,2025-10-10,11:07,FC_0278,Fore Coffee Location 3,Batam,Kepulauan Riau,TEA01,Iced English Breakfast,Tea,2,29000,58000,GrabFood
TXN_000089,2025-08-11,09:55,FC_0047,Fore Coffee Paragon City Mall,Semarang,Jawa Tengah,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,1,33000,33000,Dine-in
TXN_000090,2025-09-22,13:06,FC_0127,Fore Coffee Kota Kasablanka,Jakarta Selatan,DKI Jakarta,NCF01,Iced Dark Chocolate,Non Coffee,2,34000,68000,Pick-up (App)
TXN_000091,2026-02-11,15:54,FC_0058,Fore Coffee Cibubur Junction,Jakarta Timur,DKI Jakarta,COF08,Iced Nutty Oat Latte,Coffee,2,39000,78000,ShopeeFood
TXN_000092,2025-02-16,14:49,FC_0119,Fore Coffee Area 7,Yogyakarta,DI Yogyakarta,NCF03,Iced Classic Milo,Non Coffee,3,25000,75000,GrabFood
TXN_000093,2026-01-23,19:16,FC_0055,Fore Coffee Location 2,Cirebon,Jawa Barat,SIG04,Iced Pandan Latte,Fore Signature,1,29000,29000,GrabFood
TXN_000094,2026-03-19,11:13,FC_0335,Fore Coffee Losari Beach Area,Makassar,Sulawesi Selatan,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Dine-in
TXN_000095,2026-01-08,08:34,FC_0245,Fore Coffee Area 20,Surabaya,Jawa Timur,SIG01,Iced Aren Latte,Fore Signature,3,29000,87000,ShopeeFood
TXN_000096,2026-02-03,07:12,FC_0163,Fore Coffee Navapark BSD,Tangerang Selatan,Banten,AMR02,Hot Americano,Americano,3,23000,69000,GrabFood
TXN_000097,2025-03-19,09:36,FC_0339,Fore Coffee Dharmahusada,Surabaya,Jawa Timur,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Pick-up (App)
TXN_000098,2025-04-07,08:43,FC_0103,Fore Coffee Location 1,Batam,Kepulauan Riau,NCF04,Iced Almond Choco,Non Coffee,2,39000,78000,Pick-up (App)
TXN_000099,2025-10-31,07:08,FC_0045,Fore Coffee Java Mall,Semarang,Jawa Tengah,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Pick-up (App)
TXN_000100,2025-09-26,10:28,FC_0257,Fore Coffee Senen,Jakarta Pusat,DKI Jakarta,COF05,Iced Malty Latte,Coffee,1,27000,27000,Pick-up (App)
TXN_000101,2025-02-10,07:40,FC_0130,Fore Coffee Location 4,Cirebon,Jawa Barat,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,1,33000,33000,GrabFood
TXN_000102,2025-06-03,12:46,FC_0305,Fore Coffee Location 1,Karawang,Jawa Barat,SIG02,Hot Aren Latte,Fore Signature,2,29000,58000,Dine-in
TXN_000103,2026-02-01,08:52,FC_0119,Fore Coffee Area 7,Yogyakarta,DI Yogyakarta,SIG04,Iced Pandan Latte,Fore Signature,1,29000,29000,GrabFood
TXN_000104,2025-02-14,17:10,FC_0138,Fore Coffee Location 3,Manado,Sulawesi Utara,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Dine-in
TXN_000105,2026-02-18,17:48,FC_0051,Fore Coffee Area 11,Medan,Sumatera Utara,COF05,Iced Malty Latte,Coffee,1,27000,27000,ShopeeFood
TXN_000106,2025-07-24,09:56,FC_0050,Fore Coffee Grand Indonesia,Jakarta Pusat,DKI Jakarta,AMR04,Iced Triple Peach Americano,Americano,2,29000,58000,Dine-in
TXN_000107,2025-05-08,10:34,FC_0246,Fore Coffee Location 1,Jayapura,Papua,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Walk-in Takeaway
TXN_000108,2026-01-26,10:25,FC_0054,Fore Coffee Rungkut,Surabaya,Jawa Timur,COF04,Iced Bumi Latte,Coffee,2,25000,50000,Dine-in
TXN_000109,2025-11-26,07:29,FC_0098,Fore Coffee Location 4,Bandar Lampung,Lampung,NCF03,Iced Classic Milo,Non Coffee,3,25000,75000,GoFood
TXN_000110,2025-08-09,08:27,FC_0075,Fore Coffee Location 3,Cirebon,Jawa Barat,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,2,33000,66000,Pick-up (App)
TXN_000111,2025-05-19,08:38,FC_0109,Fore Coffee Lenmarc Mall,Surabaya,Jawa Timur,AMR03,Iced Manuka Americano,Americano,2,29000,58000,Dine-in
TXN_000112,2025-09-12,13:52,FC_0092,Fore Coffee Ijen,Malang,Jawa Timur,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,GoFood
TXN_000113,2026-03-01,17:04,FC_0171,Fore Coffee Location 2,Samarinda,Kalimantan Timur,COF03,Iced Cappuccino,Coffee,2,29000,58000,GoFood
TXN_000114,2025-09-07,18:27,FC_0218,Fore Coffee Area 10,Makassar,Sulawesi Selatan,SIG04,Iced Pandan Latte,Fore Signature,2,29000,58000,GrabFood
TXN_000115,2025-05-15,09:51,FC_0110,Fore Coffee Pasteur,Bandung,Jawa Barat,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,1,33000,33000,Dine-in
TXN_000116,2025-03-17,19:20,FC_0255,Fore Coffee Area 6,Palembang,Sumatera Selatan,DEL01,Mushroom Truffle Sandwich,Fore Deli,1,42000,42000,GrabFood
TXN_000117,2025-10-25,10:22,FC_0249,Fore Coffee Supermal Karawaci,Tangerang,Banten,COF02,Hot Cafe Latte,Coffee,1,29000,29000,ShopeeFood
TXN_000118,2025-02-26,10:05,FC_0243,Fore Coffee Braga City Walk,Bandung,Jawa Barat,SIG04,Iced Pandan Latte,Fore Signature,3,29000,87000,GoFood
TXN_000119,2026-02-05,11:11,FC_0006,Fore Coffee Hayam Wuruk,Jakarta Pusat,DKI Jakarta,REF01,Iced Coco Peach Fusion,Refresher,1,29000,29000,Pick-up (App)
TXN_000120,2025-01-02,13:59,FC_0335,Fore Coffee Losari Beach Area,Makassar,Sulawesi Selatan,COF01,Iced Cafe Latte,Coffee,2,29000,58000,GrabFood
TXN_000121,2026-02-11,14:59,FC_0299,Fore Coffee Puri Indah Mall,Jakarta Barat,DKI Jakarta,SIG04,Iced Pandan Latte,Fore Signature,2,29000,58000,GoFood
TXN_000122,2025-03-01,09:44,FC_0078,Fore Coffee Sudirman Palembang,Palembang,Sumatera Selatan,SIG07,Iced Kopi Dari Tani,Fore Signature,2,25000,50000,Dine-in
TXN_000123,2025-11-27,15:10,FC_0131,Fore Coffee Location 1,Palangkaraya,Kalimantan Tengah,COF01,Iced Cafe Latte,Coffee,1,29000,29000,Pick-up (App)
TXN_000124,2026-03-04,12:41,FC_0086,Fore Coffee Hartono Mall Solo,Solo,Jawa Tengah,COF01,Iced Cafe Latte,Coffee,3,29000,87000,GoFood
TXN_000125,2026-01-29,16:06,FC_0058,Fore Coffee Cibubur Junction,Jakarta Timur,DKI Jakarta,SIG07,Iced Kopi Dari Tani,Fore Signature,5,25000,125000,Walk-in Takeaway
TXN_000126,2025-04-06,10:53,FC_0227,Fore Coffee Location 1,Palu,Sulawesi Tengah,NCF02,Iced Matcha Green Tea,Non Coffee,3,34000,102000,Pick-up (App)
TXN_000127,2025-06-25,08:28,FC_0207,Fore Coffee Location 1,Bengkulu,Bengkulu,SIG07,Iced Kopi Dari Tani,Fore Signature,2,25000,50000,Pick-up (App)
TXN_000128,2025-10-18,12:16,FC_0252,Fore Coffee Location 1,Jambi,Jambi,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,1,33000,33000,GoFood
TXN_000129,2025-09-11,09:12,FC_0317,Fore Coffee Marvell City,Surabaya,Jawa Timur,COF06,Iced Dirty Matchapresso,Coffee,5,31000,155000,Pick-up (App)
TXN_000130,2025-05-30,09:39,FC_0041,Fore Coffee Sleman City Hall,Yogyakarta,DI Yogyakarta,COF06,Iced Dirty Matchapresso,Coffee,3,31000,93000,Pick-up (App)
TXN_000131,2026-02-09,14:37,FC_0337,Fore Coffee Location 3,Sidoarjo,Jawa Timur,SIG02,Hot Aren Latte,Fore Signature,2,29000,58000,Pick-up (App)
TXN_000132,2026-03-08,09:06,FC_0285,Fore Coffee Thamrin City,Jakarta Pusat,DKI Jakarta,SIG04,Iced Pandan Latte,Fore Signature,4,29000,116000,GoFood
TXN_000133,2026-01-01,12:25,FC_0049,Fore Coffee Location 1,Badung,Bali,SIG01,Iced Aren Latte,Fore Signature,2,29000,58000,Walk-in Takeaway
TXN_000134,2025-04-11,17:51,FC_0009,Fore Coffee Mangga Dua,Jakarta Pusat,DKI Jakarta,COF03,Iced Cappuccino,Coffee,1,29000,29000,GoFood
TXN_000135,2026-03-13,11:18,FC_0194,Fore Coffee 23 Paskal,Bandung,Jawa Barat,SIG02,Hot Aren Latte,Fore Signature,1,29000,29000,Pick-up (App)
TXN_000136,2025-01-08,08:19,FC_0101,Fore Coffee Area 18,Bandung,Jawa Barat,COF04,Iced Bumi Latte,Coffee,2,25000,50000,GrabFood
TXN_000137,2025-08-04,18:48,FC_0301,Fore Coffee Seturan,Yogyakarta,DI Yogyakarta,COF01,Iced Cafe Latte,Coffee,3,29000,87000,Dine-in
TXN_000138,2025-07-08,14:54,FC_0109,Fore Coffee Lenmarc Mall,Surabaya,Jawa Timur,SIG01,Iced Aren Latte,Fore Signature,5,29000,145000,Dine-in
TXN_000139,2025-10-30,12:57,FC_0136,Fore Coffee Location 1,Manado,Sulawesi Utara,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,Dine-in
TXN_000140,2025-04-11,17:44,FC_0074,Fore Coffee Location 2,Balikpapan,Kalimantan Timur,SIG02,Hot Aren Latte,Fore Signature,1,29000,29000,GrabFood
TXN_000141,2025-07-09,15:46,FC_0244,Fore Coffee Thamrin Plaza,Jakarta Pusat,DKI Jakarta,SIG01,Iced Aren Latte,Fore Signature,1,29000,29000,GoFood
TXN_000142,2026-01-22,08:52,FC_0286,Fore Coffee Grand Galaxy Park,Bekasi,Jawa Barat,SIG02,Hot Aren Latte,Fore Signature,3,29000,87000,Walk-in Takeaway
TXN_000143,2025-12-28,15:58,FC_0310,Fore Coffee Palembang Indah Mall,Palembang,Sumatera Selatan,COF04,Iced Bumi Latte,Coffee,4,25000,100000,Dine-in
TXN_000144,2025-11-25,08:32,FC_0131,Fore Coffee Location 1,Palangkaraya,Kalimantan Tengah,SIG06,Iced Buttercream Latte,Fore Signature,1,33000,33000,Dine-in
TXN_000145,2026-01-22,16:22,FC_0314,Fore Coffee Location 1,Sorong,Papua Barat,NCF05,Iced Matcha Butter Salt Cream,Non Coffee,2,31000,62000,Pick-up (App)
TXN_000146,2026-03-09,17:42,FC_0144,Fore Coffee Malioboro Mall,Yogyakarta,DI Yogyakarta,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,1,33000,33000,GoFood
TXN_000147,2025-07-09,11:39,FC_0089,Fore Coffee Pondok Aren,Tangerang Selatan,Banten,SIG01,Iced Aren Latte,Fore Signature,2,29000,58000,Dine-in
TXN_000148,2025-12-27,09:16,FC_0133,Fore Coffee Lotte Shopping Avenue,Jakarta Selatan,DKI Jakarta,COF05,Iced Malty Latte,Coffee,3,27000,81000,Pick-up (App)
TXN_000149,2025-06-04,15:14,FC_0131,Fore Coffee Location 1,Palangkaraya,Kalimantan Tengah,NCF05,Iced Matcha Butter Salt Cream,Non Coffee,2,31000,62000,Pick-up (App)
TXN_000150,2025-12-12,15:36,FC_0265,Fore Coffee Location 5,Balikpapan,Kalimantan Timur,COF04,Iced Bumi Latte,Coffee,1,25000,25000,GrabFood
TXN_000151,2025-01-26,08:53,FC_0028,Fore Coffee Epicentrum Walk,Jakarta Selatan,DKI Jakarta,SIG03,Iced Butterscotch Sea Salt Latte,Fore Signature,2,33000,66000,GoFood
TXN_000152,2025-04-11,12:12,FC_0014,Fore Coffee Bekasi Junction,Bekasi,Jawa Barat,AMR02,Hot Americano,Americano,1,23000,23000,GrabFood
